"","""XX_rep1""","""XX_rep2""","""XX_rep3""","""XX_rep8""","""XX_rep9""","""XX_rep10""","""Xm_rep3""","""Xm_rep7""","""Xm_rep8""","""Xm_rep13""","""Xm_rep15""","""Xp_rep1""","""Xp_rep2""","""Xp_rep3""","""Xp_rep4""","""Xp_rep7""","""Xp_rep9"""
"229040_at",9.36394614071281,8.37901251555206,9.10296753971635,9.28847384558581,9.28713272897858,10.281075846342,9.72156193400594,8.94928966177084,9.37924451884272,8.84006137481697,8.86976181575719,9.90706557046596,9.95543685648053,9.21344269135046,8.97132067516317,9.70330305742699,8.7719896838853
"1569004_at",5.60355911641771,7.17104138335342,5.1022315391043,6.99957654915928,6.15571750648225,6.58448897261562,6.27617968600199,5.21207500070559,5.29619559547176,6.03965890509296,6.22156994940931,5.9995244013056,6.45125762567567,5.9685305346424,6.28521334043788,5.47286469978665,6.51938200665235
"234082_at",4.26755292934119,4.09824382953303,4.08031935282621,5.19540577374874,6.40378483931982,5.93755919958049,5.57941392584709,4.47345406632884,4.66834779101586,5.29385019284263,4.32622822322272,5.46782953286616,4.30589335504777,6.00174830136285,5.11900623718181,4.41528287626248,4.29620799044154
"81737_at",6.53563214940705,7.02194145605895,7.9366226466482,6.71489523094217,7.60943473034955,6.8032825330395,7.4035328462191,7.18068341537862,6.24689283444618,6.69008349225959,6.03028614918976,8.18660054852251,6.81541023236881,7.55770955138898,6.1372718919657,6.56321014870404,6.91286213422185
"1557051_s_at",7.49013582329649,6.41705210157279,7.37524295175232,8.08906218601479,6.96144915138432,8.61762351520285,7.95148953727308,8.47737765738186,8.09406537006312,7.22684760599089,8.63070993460435,8.25304328804456,8.5684398982692,8.22574436537179,8.37329035677193,7.7512784604164,7.49347376122324
"1560679_at",5.3449684071141,6.11042486183282,6.04150431598358,6.24443034167079,6.91313463869008,7.90610368827008,6.31352313225526,5.01745055809382,6.85074543952271,5.38708693732813,5.39492427623861,5.5594952159401,6.54574692914579,6.42884777532306,5.32941152423291,5.71931050154093,5.82893682950406
"227492_at",5.78437821407746,6.98319992038275,7.40742756433781,7.3107504912727,6.05710122732244,5.90623907848688,8.36482740021412,7.87421325684574,7.68551654191193,5.91041512950971,7.40691068360616,8.15631119203604,7.53970147554697,7.02001962590692,6.4630920650034,7.15317452714098,6.19874458903087
"239237_at",9.14244810747022,9.13683396515292,8.96235934977149,9.08000523664296,9.67790917027091,9.20527080340732,10.8968143158697,10.0863986429568,9.06995790890456,9.90443189369282,8.63093602480011,10.6366286359047,9.83412767215889,9.53769236623301,9.1368842696385,9.8103918430331,9.956577583406
"232096_x_at",6.48594225650751,6.39945838458753,7.06164255794457,6.53137574913646,7.18402004310824,7.77380339488047,7.5442020492009,7.30038475398317,7.30260598119104,7.07120188609965,6.24884340718802,7.12103726838643,7.70564981869111,8.00317179612939,6.36945927615977,7.40528954839655,7.37518073857365
"242679_at",6.23987894397944,6.65069713325195,6.54360862345693,6.74763817197931,6.9519151552202,5.70694192594361,6.1182131630759,6.49628433217126,5.94708699329857,6.64446581229652,6.05748610325269,6.26911572746572,5.09854197136719,5.83845028854418,6.64142683946188,5.66518985166815,6.54714700377976
"239162_at",5.2998135006917,6.29257341726632,7.20597120748483,5.98597944660906,6.86455478232263,8.37560430148816,7.8546435965323,7.48521067353192,7.55521616224403,6.41936748181442,6.18310769652724,7.67432162237143,7.35376079072018,8.17773784195033,6.02991635767237,7.32192720063424,7.37922597342577
